                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.64268,                0.55902,                 1.0187,                0.96187,                  0.956,                0.98541,                0.89353,                0.40917,                0.26539,                0.80156,               0.008383,               0.008383,               0.008383
                     51,                0.64196,                0.55554,                 1.0171,                0.96448,                  0.958,                0.98545,                 0.8932,                 0.4088,                0.26459,                0.80132,                0.00835,                0.00835,                0.00835
                     52,                0.63689,                0.55372,                 1.0151,                0.97326,                0.94627,                0.98536,                0.89413,                0.40808,                0.26471,                0.80038,               0.008317,               0.008317,               0.008317
                     53,                0.64132,                0.55876,                 1.0197,                0.98237,                   0.94,                0.98537,                0.89409,                0.40841,                0.26444,                 0.8004,               0.008284,               0.008284,               0.008284
                     54,                0.64018,                0.55266,                  1.017,                0.96456,                  0.958,                0.98543,                0.89214,                0.40835,                0.26481,                0.80082,               0.008251,               0.008251,               0.008251
                     55,                0.64033,                0.55786,                 1.0213,                0.98321,                0.93707,                0.98501,                0.89249,                0.40855,                0.26543,                0.80093,               0.008218,               0.008218,               0.008218
                     56,                0.64162,                0.55217,                 1.0185,                0.98118,                  0.934,                0.98501,                0.89319,                0.40792,                0.26451,                0.80062,               0.008185,               0.008185,               0.008185
                     57,                0.63652,                0.55528,                 1.0145,                0.98326,                  0.934,                0.98433,                0.89206,                0.40747,                 0.2651,                0.80028,               0.008152,               0.008152,               0.008152
                     58,                0.63855,                0.55388,                 1.0177,                0.98383,                  0.934,                0.98415,                0.89172,                0.40669,                0.26353,                0.80029,               0.008119,               0.008119,               0.008119
                     59,                0.63266,                0.54809,                 1.0138,                0.98704,                  0.934,                0.98421,                0.89212,                 0.4075,                0.26351,                0.80064,               0.008086,               0.008086,               0.008086
                     60,                 0.6342,                0.55277,                 1.0139,                0.98707,                  0.934,                0.98472,                0.89189,                0.40753,                0.26429,                0.80026,               0.008053,               0.008053,               0.008053
                     61,                0.64403,                0.54599,                 1.0209,                0.98526,                0.93549,                0.98481,                 0.8937,                0.40698,                  0.264,                0.80006,                0.00802,                0.00802,                0.00802
                     62,                0.63519,                0.55012,                 1.0179,                0.97133,                 0.9487,                0.98443,                0.89332,                0.40633,                0.26463,                0.79992,               0.007987,               0.007987,               0.007987
                     63,                0.64042,                0.55156,                 1.0169,                0.96948,                0.95304,                0.98419,                0.89425,                0.40469,                0.26403,                0.79954,               0.007954,               0.007954,               0.007954
                     64,                 0.6322,                0.54763,                 1.0125,                0.96553,                0.95226,                0.98309,                0.89412,                0.40406,                0.26398,                0.79928,               0.007921,               0.007921,               0.007921
                     65,                0.63504,                0.55308,                 1.0133,                0.97151,                0.95484,                0.98416,                0.89528,                0.40369,                0.26378,                0.79935,               0.007888,               0.007888,               0.007888
                     66,                0.63862,                0.54784,                 1.0135,                0.97148,                0.95393,                 0.9831,                0.89492,                0.40306,                0.26221,                0.79963,               0.007855,               0.007855,               0.007855
                     67,                 0.6372,                0.54726,                 1.0164,                0.97142,                0.95164,                0.98296,                0.89371,                0.40294,                0.26131,                0.79986,               0.007822,               0.007822,               0.007822
                     68,                0.63328,                0.54743,                 1.0123,                0.96944,                0.95173,                0.98298,                0.89263,                0.40269,                0.26122,                0.79966,               0.007789,               0.007789,               0.007789
